2026-03-07 16:43:44,321 | INFO | Laserflix | ⚠️ Config não encontrado, usando padrão vazio
2026-03-07 16:43:44,321 | INFO | Laserflix | ⚠️ Database não encontrado, iniciando vazio
2026-03-07 16:43:44,322 | INFO | Laserflix | ℹ️ Collections file não existe, criando vazio
2026-03-07 16:43:44,323 | INFO | Laserflix | 📷 Thumbnail Preloader iniciado: 4 threads, cache 300 images
2026-03-07 16:43:45,608 | INFO | Laserflix | ✨ Laserflix v3.4.2.5 iniciado (ProjectManagementController ativo)
2026-03-07 16:43:47,993 | INFO | Laserflix | === INICIANDO IMPORTAÇÃO ===
2026-03-07 16:43:48,113 | INFO | Laserflix | ImportModeDialog aberto
2026-03-07 16:43:59,383 | INFO | Laserflix | ImportMode confirmado: modo=simple pasta=D:/DOWNLOAD/CREATIVE/Baby name sign
2026-03-07 16:43:59,416 | INFO | Laserflix | Modo: simple | Pasta: D:/DOWNLOAD/CREATIVE/Baby name sign
2026-03-07 16:43:59,818 | INFO | Laserflix | [SCAN SIMPLES] 14 pastas encontradas em D:/DOWNLOAD/CREATIVE/Baby name sign
2026-03-07 16:43:59,819 | INFO | Laserflix | Scan 'simple': 14 produtos | pastas escaneadas: 0
2026-03-07 16:43:59,819 | INFO | Laserflix | Encontrados: 14 produtos
2026-03-07 16:43:59,821 | INFO | Laserflix | 🔍 Duplicatas encontradas: 0 grupos, 0 projetos afetados
2026-03-07 16:43:59,822 | INFO | Laserflix | 🔍 Verificação: 0 existentes + 14 escaneados = 14 total
2026-03-07 16:43:59,823 | INFO | Laserflix | ✅ Nenhuma duplicata encontrada
2026-03-07 16:43:59,823 | INFO | Laserflix | Novos: 14 | Existentes: 0
2026-03-07 16:43:59,984 | INFO | Laserflix | ImportPreviewDialog: 14 novos, 0 existentes
2026-03-07 16:44:04,719 | INFO | Laserflix | ImportPreviewDialog: confirmado
2026-03-07 16:44:04,769 | INFO | Laserflix | Iniciando import de 14 produtos em thread
2026-03-07 16:44:04,770 | INFO | Laserflix | Import concluído: 14 ok | 0 falha
2026-03-07 16:44:06,321 | INFO | Laserflix | 🤖 Iniciando análise SEQUENCIAL de 14 produtos
2026-03-07 16:44:06,322 | INFO | Laserflix | 📊 ETAPA 1/2: Analisando categorias e tags...
2026-03-07 16:44:06,398 | INFO | Laserflix | 📊 [quality] brilho=151.4 sat=73.8 fundo_branco~17.5% → vision=True
2026-03-07 16:44:10,506 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,507 | INFO | Laserflix | 🔄 Ollama indisponível para Baby-Name-Door-Sign-Svg-142164859, usando fallback completo
2026-03-07 16:44:10,578 | INFO | Laserflix | 📊 [quality] brilho=163.9 sat=68.1 fundo_branco~23.4% → vision=True
2026-03-07 16:44:10,579 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,579 | INFO | Laserflix | 🔄 Ollama indisponível para Baby-Name-Door-Sign-Svg-142164964, usando fallback completo
2026-03-07 16:44:10,614 | INFO | Laserflix | 📊 [quality] brilho=203.5 sat=29.2 fundo_branco~29.3% → vision=True
2026-03-07 16:44:10,615 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,616 | INFO | Laserflix | 🔄 Ollama indisponível para Baby-Name-Tag-Laser-Cut-133029166, usando fallback completo
2026-03-07 16:44:10,651 | INFO | Laserflix | 📊 [quality] brilho=160.7 sat=53.4 fundo_branco~32.9% → vision=True
2026-03-07 16:44:10,651 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,652 | INFO | Laserflix | 🔄 Ollama indisponível para Childrens-Room-Sign-Door-111629030, usando fallback completo
2026-03-07 16:44:10,678 | INFO | Laserflix | 📊 [quality] brilho=214.8 sat=37.8 fundo_branco~26.5% → vision=False
2026-03-07 16:44:10,678 | INFO | Laserflix | ⚠️ Visão desativada para Layered-Whale-Round-Sign-Laser-Cut-Laser-Cutting-142239159-1-1-580x387.jpg (brilho=214.8 sat=37.8 fundo~26.5%)
2026-03-07 16:44:10,679 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,680 | INFO | Laserflix | 🔄 Ollama indisponível para Layered-Whale-Round-Sign-Laser-142239159, usando fallback completo
2026-03-07 16:44:10,716 | INFO | Laserflix | 📊 [quality] brilho=177.1 sat=126.8 fundo_branco~29.1% → vision=True
2026-03-07 16:44:10,717 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,718 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Luminous-Wall-Dcor-BundleLaser-135953225, usando fallback completo
2026-03-07 16:44:10,751 | INFO | Laserflix | 📊 [quality] brilho=191.9 sat=35.9 fundo_branco~38.6% → vision=True
2026-03-07 16:44:10,752 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,752 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Name-Sign-Laser-Cut-134888530, usando fallback completo
2026-03-07 16:44:10,790 | INFO | Laserflix | 📊 [quality] brilho=195.9 sat=42.4 fundo_branco~43.1% → vision=True
2026-03-07 16:44:10,791 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,792 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Name-Sign-Laser-Cut-134888536, usando fallback completo
2026-03-07 16:44:10,823 | INFO | Laserflix | 📊 [quality] brilho=173.1 sat=57.5 fundo_branco~31.8% → vision=True
2026-03-07 16:44:10,824 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,824 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Name-Sign-Laser-Cut-134888540, usando fallback completo
2026-03-07 16:44:10,853 | INFO | Laserflix | 📊 [quality] brilho=178.7 sat=59.0 fundo_branco~26.4% → vision=True
2026-03-07 16:44:10,854 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,855 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Name-Signs-Laser-Cut-135138969, usando fallback completo
2026-03-07 16:44:10,864 | INFO | Laserflix | Auto-save: 10/14 projetos
2026-03-07 16:44:10,890 | INFO | Laserflix | 📊 [quality] brilho=167.9 sat=81.6 fundo_branco~22.4% → vision=True
2026-03-07 16:44:10,891 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,892 | INFO | Laserflix | 🔄 Ollama indisponível para Nursery-Wall-Decor-Laser-Cut-132824165, usando fallback completo
2026-03-07 16:44:10,933 | INFO | Laserflix | 📊 [quality] brilho=184.1 sat=61.2 fundo_branco~29.6% → vision=True
2026-03-07 16:44:10,933 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,934 | INFO | Laserflix | 🔄 Ollama indisponível para Personalized-Name-Plaques-Bundle-Laser-141677810, usando fallback completo
2026-03-07 16:44:10,971 | INFO | Laserflix | 📊 [quality] brilho=174.8 sat=83.4 fundo_branco~29.4% → vision=True
2026-03-07 16:44:10,972 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:10,973 | INFO | Laserflix | 🔄 Ollama indisponível para Safari-Animal-Name-Sign-SVG-132660105, usando fallback completo
2026-03-07 16:44:11,006 | INFO | Laserflix | 📊 [quality] brilho=185.8 sat=89.7 fundo_branco~33.3% → vision=True
2026-03-07 16:44:11,006 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:11,007 | INFO | Laserflix | 🔄 Ollama indisponível para Safari-Animals-Wall-Decor-Laser-133854590, usando fallback completo
2026-03-07 16:44:12,832 | INFO | Laserflix | ✅ Categorias e tags finalizadas
2026-03-07 16:44:12,833 | INFO | Laserflix | 📝 ETAPA 2/2: Gerando descrições...
2026-03-07 16:44:12,848 | INFO | Laserflix | 📊 [quality] brilho=151.4 sat=73.8 fundo_branco~17.5% → vision=True
2026-03-07 16:44:12,849 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,853 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Baby-Name-Door-Sign-Svg-142164859, usando fallback
2026-03-07 16:44:12,866 | INFO | Laserflix | 📊 [quality] brilho=163.9 sat=68.1 fundo_branco~23.4% → vision=True
2026-03-07 16:44:12,867 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:44:12,869 | WARNING | Laserflix | ⚠️ Ollama retornou vazio para Baby-Name-Door-Sign-Svg-142164964, usando fallback
2026-03-07 16:44:12,883 | INFO | Laserflix | 📊 [quality] brilho=203.5 sat=29.2 fundo_branco~29.3% → vision=True
